Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,
Statement,Data,BrokerAddress,
Statement,Data,Title,Activity Statement
Statement,Data,Period,"February 28, 2022 - January 5, 2023"
Dividends,Data,USD,2022-12-23,DFAE(US25434V3024) Cash Dividend USD 0.160327 per Share (Ordinary Dividend),2.4
Dividends,Data,USD,2022-12-23,DFAI(US25434V2034) Cash Dividend USD 0.1332 per Share (Ordinary Dividend),2.93
Dividends,Data,USD,2022-12-23,DFAS(US25434V5003) Cash Dividend USD 0.177755 per Share (Ordinary Dividend),1.96
Dividends,Data,USD,2022-12-23,DFAT(US25434V6092) Payment in Lieu of Dividend (Ordinary Dividend),11.9
Dividends,Data,USD,2022-12-23,DFIV(US25434V8072) Cash Dividend USD 0.294642 per Share (Ordinary Dividend),8.54
Dividends,Data,USD,2022-12-23,DFUS(US25434V4014) Payment in Lieu of Dividend (Ordinary Dividend),0.96
Dividends,Data,USD,2022-12-23,DFUS(US25434V4014) Cash Dividend USD 0.191819 per Share (Ordinary Dividend),3.26
Dividends,Data,USD,2022-12-23,EQAL(US46138E4200) Cash Dividend USD 0.16045 per Share (Ordinary Dividend),1.93
Dividends,Data,USD,2022-12-28,RODE(US5184166073) Cash Dividend USD 0.65 per Share (Ordinary Dividend),23.4
Dividends,Data,USD,2022-12-28,RODM(US5184161025) Cash Dividend USD 0.236317 per Share (Ordinary Dividend),18.91
Dividends,Data,USD,2022-12-28,VAPX(IE00B9F5YL18) Cash Dividend USD 0.140532 per Share (Mixed Income),70.27
Dividends,Data,USD,2022-12-28,VBR(US9229086114) Payment in Lieu of Dividend (Ordinary Dividend),7.83
Dividends,Data,USD,2022-12-28,VHYD(IE00B8GKDB10) Cash Dividend USD 0.413146 per Share (Mixed Income),41.31
Dividends,Data,USD,2022-12-28,VJPN(IE00B95PGT31) Cash Dividend USD 0.232417 per Share (Mixed Income),23.24
Dividends,Data,USD,2022-12-29,DON(US97717W5058) Cash Dividend USD 0.19594 per Share (Ordinary Dividend),11.76
Dividends,Data,USD,2022-12-29,SPEM(US78463X5095) Cash Dividend USD 0.653928 per Share (Ordinary Dividend),19.62
Dividends,Data,USD,2022-12-30,IWVU(IE00BFYTYS33) Cash Dividend USD 0.0602 per Share (Mixed Income),36.12
Dividends,Data,Total,,,1515.11
Dividends,Data,Total in EUR,,,1470.2275922
Dividends,Data,Total Dividends in EUR,,,1850.9301922
Withholding Tax,Header,Currency,Date,Description,Amount,Code
Withholding Tax,Data,USD,2022-05-27,DON(US97717W5058) Cash Dividend USD 0.085 per Share - US Tax,-0.76,
Withholding Tax,Data,USD,2022-06-15,IEMG(US46434G1031) Cash Dividend USD 0.604409 per Share - US Tax,-1.81,
Withholding Tax,Data,USD,2022-06-15,IJS(US4642878791) Cash Dividend USD 0.283479 per Share - US Tax,-0.85,
Withholding Tax,Data,USD,2022-06-15,ISCV(US4642887032) Cash Dividend USD 0.208317 per Share - US Tax,-2.5,
Withholding Tax,Data,USD,2022-06-24,AVDV(US0250728021) Cash Dividend USD 0.9936 per Share - US Tax,-14.9,
Withholding Tax,Data,USD,2022-06-24,VLU(US78464A1280) Payment in Lieu of Dividend - US Tax,-3.53,
Withholding Tax,Data,USD,2022-06-24,VWO(US9220428588) Cash Dividend USD 0.3057 per Share - US Tax,-1.15,
Withholding Tax,Data,USD,2022-06-27,DFAE(US25434V3024) Payment in Lieu of Dividend - US Tax,-0.37,
Withholding Tax,Data,USD,2022-06-27,DFAI(US25434V2034) Cash Dividend USD 0.328826 per Share - US Tax,-1.08,
Withholding Tax,Data,USD,2022-06-27,DFAS(US25434V5003) Cash Dividend USD 0.138307 per Share - US Tax,-0.23,
Withholding Tax,Data,USD,2022-06-27,DFAT(US25434V6092) Cash Dividend USD 0.170814 per Share - US Tax,-1.61,
Withholding Tax,Data,USD,2022-06-27,DFAT(US25434V6092) Payment in Lieu of Dividend - US Tax,-0.13,
Withholding Tax,Data,USD,2022-06-27,DFIV(US25434V8072) Cash Dividend USD 0.670392 per Share - US Tax,-2.92,
Withholding Tax,Data,USD,2022-06-27,DFUS(US25434V4014) Cash Dividend USD 0.153626 per Share - US Tax,-0.51,
Withholding Tax,Data,USD,2022-06-27,SCHE(US8085247067) Cash Dividend USD 0.0754 per Share - US Tax,-0.4,
Withholding Tax,Data,USD,2022-06-28,FLLA(US35473P5614) Payment in Lieu of Dividend - US Tax,-2.88,
Withholding Tax,Data,USD,2022-06-28,IQIN(US45409B3621) Cash Dividend USD 0.66507 per Share - US Tax,-3.39,
Withholding Tax,Data,USD,2022-06-28,SPEM(US78463X5095) Cash Dividend USD 0.458517 per Share - US Tax,-2.06,
Withholding Tax,Data,USD,2022-06-28,VBR(US9229086114) Cash Dividend USD 0.7123 per Share - US Tax,-0.75,
Withholding Tax,Data,USD,2022-06-29,DON(US97717W5058) Cash Dividend USD 0.15 per Share - US Tax,-1.35,
Withholding Tax,Data,USD,2022-06-30,EQAL(US46138E4200) Cash Dividend USD 0.20499 per Share - US Tax,-0.37,
Withholding Tax,Data,USD,2022-06-30,RODE(US5184166073) Cash Dividend USD 0.225909 per Share - US Tax,-1.22,
Withholding Tax,Data,USD,2022-06-30,RODM(US5184161025) Cash Dividend USD 0.708696 per Share - US Tax,-8.51,
Withholding Tax,Data,USD,2022-07-28,DON(US97717W5058) Cash Dividend USD 0.06 per Share - US Tax,-0.54,
Withholding Tax,Data,USD,2022-08-30,DON(US97717W5058) Cash Dividend USD 0.12 per Share - US Tax,-1.08,
Withholding Tax,Data,USD,2022-09-22,VLU(US78464A1280) Cash Dividend USD 0.768772 per Share - US Tax,-0.12,
Withholding Tax,Data,USD,2022-09-22,VLU(US78464A1280) Payment in Lieu of Dividend - US Tax,-3.34,
Withholding Tax,Data,USD,2022-09-22,VWO(US9220428588) Cash Dividend USD 0.5294 per Share - US Tax,-1.99,
Withholding Tax,Data,USD,2022-09-23,DFAE(US25434V3024) Payment in Lieu of Dividend - US Tax,-0.79,
Withholding Tax,Data,USD,2022-09-23,DFAI(US25434V2034) Payment in Lieu of Dividend - US Tax,-0.48,
Withholding Tax,Data,USD,2022-09-23,DFAS(US25434V5003) Cash Dividend USD 0.13452 per Share - US Tax,-0.22,
Withholding Tax,Data,USD,2022-09-23,DFAT(US25434V6092) Payment in Lieu of Dividend - US Tax,-1.56,
Withholding Tax,Data,USD,2022-09-23,DFIV(US25434V8072) Cash Dividend USD 0.138517 per Share - US Tax,-0.6,
Withholding Tax,Data,USD,2022-09-23,DFUS(US25434V4014) Cash Dividend USD 0.15832 per Share - US Tax,-0.52,
Withholding Tax,Data,USD,2022-09-23,EQAL(US46138E4200) Cash Dividend USD 0.2267 per Share - US Tax,-0.41,
Withholding Tax,Data,USD,2022-09-28,VBR(US9229086114) Cash Dividend USD 0.7714 per Share - US Tax,-0.81,
Withholding Tax,Data,USD,2022-09-29,DON(US97717W5058) Cash Dividend USD 0.12 per Share - US Tax,-1.08,
Withholding Tax,Data,USD,2022-09-30,IJS(US4642878791) Cash Dividend USD 0.510586 per Share - US Tax,-1.53,
Withholding Tax,Data,USD,2022-09-30,ISCV(US4642887032) Cash Dividend USD 0.341535 per Share - US Tax,-4.1,
Withholding Tax,Data,USD,2022-10-28,DON(US97717W5058) Cash Dividend USD 0.05 per Share - US Tax,-0.45,
Withholding Tax,Data,USD,2022-11-29,DON(US97717W5058) Cash Dividend USD 0.15 per Share - US Tax,-1.35,
Withholding Tax,Data,USD,2022-12-12,SCHC(US8085248883) Cash Dividend USD 0.5605 per Share - US Tax,-2.52,
Withholding Tax,Data,USD,2022-12-12,SCHE(US8085247067) Cash Dividend USD 0.6052 per Share - US Tax,-3.18,
Withholding Tax,Data,USD,2022-12-19,IEMG(US46434G1031) Cash Dividend USD 0.658887 per Share - US Tax,-1.98,
Withholding Tax,Data,USD,2022-12-19,IJS(US4642878791) Cash Dividend USD 0.257752 per Share - US Tax,-0.77,
Withholding Tax,Data,USD,2022-12-19,ISCV(US4642887032) Payment in Lieu of Dividend - US Tax,-0.5,
Withholding Tax,Data,USD,2022-12-19,ISCV(US4642887032) Cash Dividend USD 0.33273 per Share - US Tax,-3.49,
Withholding Tax,Data,USD,2022-12-20,AVDV(US0250728021) Payment in Lieu of Dividend - US Tax,-1.71,
Withholding Tax,Data,USD,2022-12-20,AVDV(US0250728021) Cash Dividend USD 0.7604 per Share - US Tax,-9.69,
Withholding Tax,Data,USD,2022-12-22,FLLA(US35473P5614) Cash Dividend USD 1.075421 per Share - US Tax,-3.87,
Withholding Tax,Data,USD,2022-12-22,VLU(US78464A1280) Cash Dividend USD 0.785013 per Share - US Tax,-0.12,
Withholding Tax,Data,USD,2022-12-22,VLU(US78464A1280) Payment in Lieu of Dividend - US Tax,-3.42,
Withholding Tax,Data,USD,2022-12-22,VWO(US9220428588) Cash Dividend USD 0.6347 per Share - US Tax,-2.38,
Withholding Tax,Data,USD,2022-12-23,DFAE(US25434V3024) Payment in Lieu of Dividend - US Tax,-0.1,
Withholding Tax,Data,USD,2022-12-23,DFAE(US25434V3024) Cash Dividend USD 0.160327 per Share - US Tax,-0.36,
Withholding Tax,Data,USD,2022-12-23,DFAI(US25434V2034) Cash Dividend USD 0.1332 per Share - US Tax,-0.44,
Withholding Tax,Data,USD,2022-12-23,DFAS(US25434V5003) Cash Dividend USD 0.177755 per Share - US Tax,-0.29,
Withholding Tax,Data,USD,2022-12-23,DFAT(US25434V6092) Payment in Lieu of Dividend - US Tax,-1.79,
Withholding Tax,Data,USD,2022-12-23,DFIV(US25434V8072) Cash Dividend USD 0.294642 per Share - US Tax,-1.28,
Withholding Tax,Data,USD,2022-12-23,DFUS(US25434V4014) Payment in Lieu of Dividend - US Tax,-0.14,
Withholding Tax,Data,USD,2022-12-23,DFUS(US25434V4014) Cash Dividend USD 0.191819 per Share - US Tax,-0.49,
Withholding Tax,Data,USD,2022-12-23,EQAL(US46138E4200) Cash Dividend USD 0.16045 per Share - US Tax,-0.29,
Withholding Tax,Data,USD,2022-12-28,RODE(US5184166073) Cash Dividend USD 0.65 per Share - US Tax,-3.51,
Withholding Tax,Data,USD,2022-12-28,RODM(US5184161025) Cash Dividend USD 0.236317 per Share - US Tax,-2.84,
Withholding Tax,Data,USD,2022-12-28,VBR(US9229086114) Payment in Lieu of Dividend - US Tax,-1.17,
Withholding Tax,Data,USD,2022-12-29,DON(US97717W5058) Cash Dividend USD 0.19594 per Share - US Tax,-1.76,
Withholding Tax,Data,USD,2022-12-29,SPEM(US78463X5095) Cash Dividend USD 0.653928 per Share - US Tax,-2.94,
Withholding Tax,Data,Total,,,-125.28,
Withholding Tax,Data,Total in EUR,,,-120.0207619,
