Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,
Statement,Data,BrokerAddress,
Statement,Data,Title,Activity Statement
Statement,Data,Period,"June 1, 2023 - May 31, 2024"
Statement,Data,WhenGenerated,"2024-06-02, 13:49:43 EDT"
Dividends,Header,Currency,Date,Description,Amount
Withholding Tax,Data,USD,2024-03-22,DFIV(US25434V8072) Cash Dividend USD 0.085876 per Share - US Tax,-0.37,
Withholding Tax,Data,USD,2024-03-22,DFUS(US25434V4014) Cash Dividend USD 0.117882 per Share - US Tax,-0.39,
Withholding Tax,Data,USD,2024-03-26,VBR(US9229086114) Cash Dividend USD 0.9425 per Share - US Tax,-0.99,
Withholding Tax,Data,USD,2024-03-27,DON(US97717W5058) Cash Dividend USD 0.17 per Share - US Tax,-1.53,
Withholding Tax,Data,USD,2024-03-27,IJS(US4642878791) Cash Dividend USD 0.364509 per Share - US Tax,-1.09,
Withholding Tax,Data,USD,2024-03-27,ISCV(US4642887032) Cash Dividend USD 0.255582 per Share - US Tax,-3.07,
Withholding Tax,Data,USD,2024-04-29,DON(US97717W5058) Cash Dividend USD 0.055 per Share - US Tax,-0.5,
Withholding Tax,Data,USD,2024-05-30,DON(US97717W5058) Cash Dividend USD 0.055 per Share - US Tax,-0.5,
Withholding Tax,Data,Total,,,-129.28,
Withholding Tax,Data,Total in EUR,,,-118.8615545,
